alloy_id,Cr_wt,Ni_wt,Mo_wt,V_wt,C_wt,anneal_temp_C,anneal_time_h,process_type,yield_strength_MPa
AL1357,7.423,7.547,3.02,0.749,0.711,487.6,5.3,B,681.2
AL1358,11.753,8.757,2.373,0.806,0.956,583.1,10.63,C,808.6
AL1359,13.479,9.821,1.832,0.46,0.315,579.1,10.85,B,660.2
AL1360,13.418,10.215,1.631,0.804,0.359,589.6,6.0,A,730.9
AL1361,17.688,2.812,2.283,0.975,0.765,457.9,8.52,A,484.6
AL1362,10.185,9.503,3.185,0.134,0.753,520.6,10.11,C,762.2
AL1363,11.09,8.458,2.088,0.172,0.106,509.4,3.25,A,601.6
AL1364,15.499,2.444,0.623,0.377,0.561,571.7,1.52,C,760.3
AL1365,0.986,1.107,1.202,0.789,0.139,517.6,7.59,B,513.1
AL1366,3.049,3.59,0.818,0.63,0.793,417.4,9.96,A,213.1
AL1367,15.918,7.13,3.076,0.97,0.79,322.1,11.65,B,371.3
AL1368,12.261,9.934,3.466,0.058,0.481,365.7,9.55,C,260.4
AL1369,15.852,6.284,2.438,0.01,0.082,347.2,7.79,A,369.0
AL1370,16.796,3.508,3.066,0.127,0.421,560.1,9.29,B,823.2
AL1371,7.146,11.711,2.987,0.222,0.083,470.9,0.6,A,456.7
AL1372,5.878,5.806,0.919,0.582,0.333,395.7,2.7,A,291.5
AL1373,6.768,11.179,1.214,0.984,0.143,320.4,7.98,B,349.2
AL1374,6.519,11.114,2.433,0.366,0.073,564.2,2.14,C,643.4
AL1375,7.109,6.313,0.783,0.799,0.098,458.7,1.75,C,350.4
AL1376,3.199,2.551,2.61,0.578,0.604,637.7,8.07,A,304.5
AL1377,4.189,3.888,3.217,0.786,0.153,415.9,3.94,C,269.8
AL1378,11.669,9.276,0.769,0.194,0.908,444.3,4.54,B,501.9
AL1379,10.066,9.438,0.251,0.22,0.905,609.9,5.08,B,704.6
AL1380,17.005,1.604,3.86,0.602,0.285,402.9,3.66,B,445.5
AL1381,3.945,7.096,2.422,0.959,0.531,610.8,11.13,A,452.8
AL1382,5.686,11.879,0.015,0.376,0.832,551.1,7.01,B,956.3
AL1383,12.986,2.108,2.272,0.03,0.47,636.1,8.42,A,430.7
AL1384,9.345,6.74,2.629,0.992,0.23,659.8,1.95,C,372.2
AL1385,7.041,10.379,1.078,0.141,0.223,559.8,2.94,B,753.6
AL1386,5.528,2.622,3.861,0.832,0.258,669.4,9.84,B,296.5
AL1387,13.763,11.022,1.29,0.098,0.377,341.2,11.05,A,263.2
AL1388,11.02,11.666,1.681,0.239,0.639,504.2,3.28,A,720.8
AL1389,13.614,1.331,2.424,0.714,0.214,527.9,9.17,C,571.4
AL1390,6.829,10.679,0.477,0.235,0.212,573.5,9.59,C,530.6
AL1391,4.743,7.185,0.903,0.683,0.597,433.8,4.9,C,313.0
AL1392,2.987,6.27,1.061,0.517,0.354,381.4,4.93,B,262.1
AL1393,14.256,2.306,2.159,0.11,0.91,606.6,1.95,B,743.0
AL1394,11.666,3.389,1.423,0.956,0.18,550.1,8.19,A,615.0
AL1395,10.825,11.5,0.863,0.222,0.2,440.6,2.89,B,449.2
AL1396,17.758,0.297,0.439,0.634,0.71,670.9,0.71,B,430.0
AL1397,12.844,8.362,0.007,0.488,0.603,495.1,1.22,C,620.6
AL1398,14.308,5.019,2.544,0.877,0.231,612.2,2.99,A,567.0
AL1399,2.849,5.343,1.979,0.159,0.917,647.0,10.9,B,330.3
AL1400,4.693,5.748,1.801,0.179,0.581,472.9,8.23,C,396.2
AL1401,15.867,5.688,0.224,0.138,0.734,401.2,11.12,A,308.4
AL1402,8.4,1.916,2.085,0.923,0.161,476.0,5.18,C,347.5
AL1403,5.24,11.052,1.595,0.973,0.919,336.8,3.19,A,415.8
AL1404,16.233,11.944,0.809,0.64,0.577,573.2,10.4,B,849.2
AL1405,17.243,10.057,1.88,0.048,0.826,382.7,6.42,A,442.7
AL1406,17.135,5.144,0.097,0.604,0.166,662.9,9.84,B,400.1
AL1407,8.305,1.067,1.454,0.51,0.649,686.8,10.61,B,258.5
AL1408,16.726,4.059,1.128,0.534,0.485,567.8,8.65,A,796.3
AL1409,2.183,7.177,0.497,0.893,0.202,449.8,11.36,B,197.3
AL1410,10.867,7.88,2.475,0.48,0.241,633.1,9.05,A,375.8
AL1411,16.247,3.402,1.346,0.481,0.372,633.5,3.7,A,502.1
AL1412,8.93,1.187,2.333,0.792,0.472,405.6,4.07,C,300.8
AL1413,14.563,0.068,2.025,0.353,0.845,370.8,10.8,B,326.1
AL1414,5.68,5.072,2.208,0.093,0.314,547.7,5.26,A,719.4
AL1415,9.611,6.162,3.798,0.476,0.736,590.9,7.35,B,829.3
AL1416,1.696,4.532,2.844,0.622,0.67,441.0,1.67,A,356.8
AL1417,1.568,8.467,0.167,0.44,0.681,459.0,9.15,B,324.7
AL1418,17.239,4.926,1.269,0.017,0.168,549.4,,B,760.1
AL1419,7.447,10.044,0.533,0.934,0.705,577.3,3.23,C,815.0
AL1420,17.502,3.732,0.585,0.605,0.358,500.0,4.95,B,714.8
AL1421,0.407,0.36,3.95,0.74,0.4,334.9,4.16,C,179.2
AL1422,2.048,6.02,0.361,0.273,0.314,658.2,1.94,B,351.4
AL1423,10.603,10.546,0.369,0.153,0.685,592.5,7.33,A,751.9
AL1424,6.609,4.714,0.731,0.906,0.585,307.7,11.11,B,261.5
AL1425,12.56,5.462,2.947,0.785,0.675,623.2,11.81,B,484.9
AL1426,12.723,11.148,,0.019,0.892,314.9,9.97,B,390.4
AL1427,0.086,9.383,3.945,0.899,0.386,550.8,10.82,C,588.4
AL1428,11.533,8.109,1.269,0.487,0.413,346.2,4.65,B,367.3
AL1429,16.465,6.927,3.084,0.706,0.107,400.5,8.61,B,391.5
AL1430,2.437,2.811,3.814,0.017,0.786,589.2,10.66,B,629.9
AL1431,6.236,5.972,2.948,0.335,0.331,698.2,5.72,A,294.4
AL1432,13.179,2.952,,0.046,0.872,545.2,2.12,A,990.5
AL1433,10.986,2.031,0.673,0.336,0.984,447.0,4.76,A,438.2
AL1434,9.291,10.618,3.995,0.045,0.894,301.5,9.01,A,344.2
AL1435,12.875,10.245,,0.023,0.149,370.4,3.39,C,323.9
AL1436,6.282,9.479,1.563,0.13,0.141,515.3,4.24,,665.3
AL1437,6.957,11.908,0.47,0.518,0.056,574.2,2.64,A,577.3
AL1438,16.581,9.622,2.183,0.313,0.743,380.4,8.12,B,455.1
AL1439,2.209,9.842,3.264,0.385,0.7,571.1,2.88,A,852.4
AL1440,13.31,8.133,2.786,0.909,0.813,652.5,5.39,A,515.3
AL1441,17.267,4.772,0.632,0.796,0.297,403.3,3.94,A,443.0
AL1442,4.77,3.193,3.948,0.428,0.215,562.4,2.99,C,653.8
AL1443,6.803,9.84,1.177,0.054,0.483,346.6,7.51,B,359.7
AL1444,2.479,3.074,1.57,0.993,0.192,614.3,3.26,C,378.4
AL1445,17.563,11.65,2.805,0.162,0.058,426.2,1.76,C,461.6
AL1446,11.979,8.251,0.958,0.168,0.447,432.8,8.21,A,359.0
AL1447,8.487,8.66,1.027,0.332,0.117,491.9,6.86,C,471.9
AL1448,2.946,6.114,0.198,0.724,0.263,601.2,2.33,A,477.6
AL1449,0.901,6.78,3.171,0.676,0.79,406.4,,B,269.9
AL1450,13.078,6.301,3.526,0.546,0.974,646.9,0.66,B,589.7
AL1451,2.378,10.382,3.881,0.621,0.533,681.9,7.66,B,377.0
AL1452,1.252,11.24,3.966,0.021,0.604,437.2,1.58,A,378.0
AL1453,17.434,8.65,0.227,0.321,0.768,477.2,3.08,C,632.9
AL1454,2.317,7.187,0.422,0.404,0.629,630.3,11.63,A,261.8
AL1455,8.227,4.868,2.362,0.89,0.242,315.3,3.45,B,382.6
AL1456,11.299,7.455,2.279,0.948,0.459,437.6,1.7,B,448.0
AL1457,5.222,4.306,1.579,0.956,0.542,571.3,2.12,A,713.9
AL1458,5.374,7.027,3.832,0.202,0.176,513.5,4.19,C,562.6
AL1459,6.151,6.428,0.097,0.512,0.352,527.1,5.35,A,661.1
AL1460,8.094,0.944,0.813,0.917,0.84,632.5,,A,392.4
AL1461,0.951,10.781,1.268,0.161,0.286,347.0,10.92,A,170.0
AL1462,13.004,9.672,2.781,1.0,0.481,619.7,8.97,A,556.7
AL1463,12.491,4.883,3.216,0.767,0.41,661.0,3.98,B,466.3
AL1464,14.368,9.907,3.808,0.75,0.277,505.3,6.66,A,672.4
AL1465,2.062,0.348,1.995,0.06,0.989,577.9,9.52,B,738.6
AL1466,3.947,5.573,3.214,0.335,0.213,387.8,2.88,A,265.5
AL1467,11.575,4.861,0.23,0.074,0.699,489.8,4.26,A,614.0
AL1468,3.695,10.593,2.979,0.618,0.441,447.9,7.73,A,330.9
AL1469,15.716,10.733,0.58,0.89,0.988,321.6,9.42,B,463.0
AL1470,16.598,7.265,3.531,0.471,0.654,699.5,2.81,C,414.2
AL1471,10.079,2.555,1.231,0.087,0.653,649.6,5.6,B,428.4
AL1472,0.93,4.958,1.257,0.542,0.955,358.2,1.57,A,264.3
AL1473,6.153,9.393,2.294,0.501,0.714,563.2,4.53,A,914.8
AL1474,4.399,4.515,3.997,0.171,0.192,391.6,3.88,A,271.8
AL1475,6.35,6.234,2.999,0.115,0.446,452.8,5.87,C,341.7
AL1476,16.196,9.177,1.588,0.172,0.158,305.0,10.99,C,287.2
AL1477,7.215,6.172,2.88,0.583,0.784,560.3,10.53,B,902.4
AL1478,3.199,8.551,2.894,0.527,0.132,531.9,10.92,C,484.9
AL1479,9.945,6.01,2.292,0.35,0.863,620.6,2.4,A,590.8
AL1480,8.23,1.214,0.373,0.011,0.778,368.8,5.55,A,271.5
AL1481,6.706,6.436,2.653,0.444,0.778,675.8,3.28,B,467.1
AL1482,10.624,10.525,2.889,0.019,0.105,346.0,9.75,A,302.5
AL1483,1.839,3.837,0.265,0.763,0.465,682.7,3.01,C,259.5
AL1484,17.939,0.413,2.09,0.471,0.945,335.4,4.09,B,442.1
AL1485,9.76,1.737,3.257,0.143,0.112,521.8,6.23,A,580.9
AL1486,13.556,5.666,2.304,0.462,0.727,628.4,8.8,B,532.1
AL1487,15.967,10.035,,0.481,0.217,521.6,8.67,B,716.5
AL1488,4.054,3.103,1.138,0.653,0.545,543.8,2.2,B,764.3
AL1489,16.448,0.668,1.846,0.731,0.7,584.0,8.48,B,737.7
AL1490,10.325,5.681,0.865,0.414,0.31,437.4,6.19,C,320.8
AL1491,11.186,3.166,3.676,0.281,0.941,497.7,2.77,B,770.2
AL1492,15.936,7.243,3.689,0.332,0.486,516.4,11.9,B,747.3
AL1493,3.399,8.26,3.846,0.741,0.524,518.7,8.45,A,728.7
AL1494,17.497,0.366,3.727,0.102,0.985,400.8,5.2,B,451.4
AL1495,1.415,0.621,3.003,0.797,0.717,626.8,9.88,A,374.7
AL1496,16.228,10.071,3.969,0.639,0.838,520.0,7.05,A,996.8
AL1497,16.822,10.273,2.987,0.773,0.856,342.4,10.67,B,402.8
AL1498,3.037,7.7,3.295,0.169,0.558,595.3,9.3,B,588.3
AL1499,16.617,4.053,1.059,0.99,0.629,422.0,1.28,C,453.5
AL1500,3.888,1.796,1.443,0.865,0.825,448.1,9.65,A,249.3
AL1501,6.502,8.735,2.681,0.526,0.915,457.5,2.79,C,444.3
AL1502,2.099,4.647,,0.983,0.923,680.2,2.45,C,326.9
AL1503,8.109,10.83,2.626,0.264,0.619,665.0,4.78,C,381.6
AL1504,17.634,1.899,0.856,0.012,0.339,496.0,1.31,A,580.6
AL1505,5.16,10.176,1.755,0.71,0.808,597.8,9.21,A,664.4
AL1506,7.576,1.205,0.615,0.717,0.969,338.1,6.34,A,275.8
AL1507,9.968,9.531,1.607,0.875,0.112,679.4,4.51,B,452.0
AL1508,2.67,2.214,3.388,0.79,0.292,300.6,2.14,C,253.1
AL1509,7.891,11.395,0.83,0.217,0.159,619.8,5.44,A,443.0
AL1510,2.577,10.731,,0.245,0.984,441.6,1.42,A,391.8
AL1511,2.35,4.533,0.156,0.915,0.537,615.6,10.1,A,361.6
AL1512,2.137,5.182,0.345,0.63,0.345,303.9,9.7,B,237.4
AL1513,8.893,8.754,1.713,0.522,0.439,565.0,2.43,B,845.8
AL1514,1.899,2.794,2.461,0.838,0.394,566.3,5.79,B,703.1
AL1515,15.712,7.189,2.697,0.685,0.807,452.4,3.06,C,497.6
AL1516,5.351,7.33,2.422,0.938,0.344,524.6,6.8,B,702.4
AL1517,15.402,0.27,2.129,0.172,0.642,578.0,0.98,C,769.6
AL1518,7.951,1.642,1.448,0.295,0.633,478.4,4.16,A,518.0
AL1519,16.957,11.58,2.547,0.102,0.326,577.5,9.18,C,679.3
AL1520,17.418,4.132,3.82,0.753,0.424,487.6,11.78,C,486.8
AL1521,14.792,3.059,2.23,0.939,0.147,443.5,9.67,B,363.3
AL1522,1.296,6.727,3.757,0.744,0.288,627.8,10.94,A,275.3
AL1523,14.777,4.112,2.688,0.018,0.763,373.9,10.49,A,292.7
AL1524,11.263,2.052,0.776,0.045,0.792,348.5,8.4,A,267.8
AL1525,3.508,4.925,3.047,0.285,0.381,555.8,6.69,C,653.7
AL1526,7.102,0.973,3.436,0.667,0.53,424.7,3.74,C,299.4
AL1527,4.29,7.496,3.211,0.581,0.15,565.6,11.01,C,504.6
AL1528,7.423,8.331,3.385,0.059,0.753,695.3,1.57,B,372.1
AL1529,9.194,10.708,3.533,0.805,0.438,595.2,5.96,C,707.3
AL1530,0.846,2.757,2.077,0.429,0.427,430.6,1.07,A,255.8
AL1531,10.523,5.466,3.96,0.313,0.696,433.2,8.57,A,357.7
AL1532,15.189,10.93,2.558,0.039,0.288,562.3,8.25,B,786.9
AL1533,2.495,8.042,,0.299,0.767,364.1,6.76,C,287.7
AL1534,1.544,6.109,2.449,0.176,0.983,688.7,4.07,A,323.4
AL1535,9.202,0.814,1.494,0.114,0.553,493.2,10.96,C,403.7
AL1536,2.033,2.389,,0.769,0.901,364.2,6.08,C,214.4
AL1537,0.634,2.943,2.768,0.136,0.657,327.5,9.55,C,147.9
AL1538,16.43,8.992,2.364,0.643,0.597,586.5,5.07,,836.5
AL1539,13.719,1.715,0.947,0.216,0.297,450.9,3.11,B,408.7
AL1540,13.437,4.69,0.588,0.6,0.388,508.3,5.19,A,666.3
AL1541,11.28,2.238,0.525,0.622,0.124,479.3,3.02,A,458.9
AL1542,0.333,6.242,2.204,0.598,0.371,376.0,1.21,B,304.9
AL1543,10.455,2.775,2.417,0.088,0.99,331.5,9.15,A,275.1
AL1544,5.103,10.825,1.423,0.985,0.47,564.0,10.61,B,765.4
AL1545,3.145,1.533,2.088,0.01,0.866,350.0,8.69,C,192.4
AL1546,11.581,6.586,0.7,0.63,0.265,499.7,6.58,C,539.2
AL1547,17.981,8.646,2.375,0.496,0.053,488.7,2.96,B,613.2
AL1548,4.792,8.098,0.235,0.089,0.581,387.7,7.22,B,274.0
AL1549,9.679,0.882,3.238,0.725,0.936,462.8,9.74,A,407.0
AL1550,7.925,9.228,2.557,0.697,0.504,698.0,5.01,C,342.2
AL1551,16.894,7.963,1.349,0.863,0.704,508.0,4.17,B,880.6
AL1552,10.47,8.03,0.429,0.439,0.926,385.1,11.55,B,269.9
AL1553,9.694,9.293,0.089,0.844,0.427,351.8,11.24,C,226.6
AL1554,8.014,9.443,2.059,0.655,0.439,395.2,2.75,A,346.3
AL1555,6.097,4.697,3.439,0.935,0.892,561.9,6.45,A,932.7
AL1556,13.027,10.762,0.411,0.888,0.495,463.9,5.45,,574.4
AL1557,1.849,2.695,1.963,0.538,0.441,550.6,10.97,A,568.5
AL1558,0.979,3.768,2.449,0.266,0.965,559.2,2.22,A,888.7
AL1559,4.506,10.4,,0.224,0.078,431.7,11.11,C,198.4
AL1560,2.525,2.377,1.078,0.715,0.664,348.1,4.94,A,256.7
AL1561,0.129,5.068,0.585,0.574,0.141,553.1,8.51,B,518.6
AL1562,7.299,1.45,0.053,0.253,0.61,483.5,5.59,C,480.0
AL1563,1.978,4.981,1.991,0.317,0.908,356.4,0.74,B,301.5
AL1564,14.678,9.178,3.636,0.988,0.472,674.6,2.97,B,518.1
AL1565,11.568,11.916,1.846,0.174,0.958,313.3,2.77,C,384.5
AL1566,17.567,7.296,1.525,0.74,0.272,556.1,7.19,B,843.0
AL1567,11.438,3.036,1.889,0.94,0.924,622.6,6.79,,573.1
AL1568,1.769,8.001,3.341,0.993,0.654,384.6,8.97,A,248.1
AL1569,17.954,7.831,3.655,0.399,0.619,693.1,0.98,C,432.4
AL1570,15.846,7.024,1.338,0.409,0.499,648.9,9.12,C,384.4
AL1571,3.137,9.763,0.889,0.098,0.726,342.2,5.12,A,295.9
AL1572,5.431,7.087,1.259,0.008,0.522,524.2,2.44,A,707.3
AL1573,8.423,9.299,2.34,0.499,0.117,618.7,11.51,B,367.0
AL1574,0.16,1.16,1.97,0.056,0.715,550.2,1.79,A,777.6
AL1575,4.577,0.086,2.502,0.192,0.933,363.4,6.15,B,330.2
AL1576,16.987,4.514,2.522,0.402,0.212,603.6,5.57,A,617.3
AL1577,6.241,4.353,3.087,0.477,0.257,307.2,10.64,B,231.6
AL1578,5.579,9.98,3.754,0.926,0.112,344.2,0.73,A,348.4
AL1579,5.723,5.207,1.277,0.492,0.452,361.8,8.01,B,300.8
AL1580,5.27,7.981,0.547,0.515,0.677,667.9,1.35,A,377.1
AL1581,12.724,2.077,1.769,0.484,0.227,675.7,5.57,A,338.9
AL1582,3.767,2.356,2.611,0.285,0.504,577.8,11.03,A,604.9
AL1583,15.869,8.095,1.548,0.549,0.14,610.0,5.66,B,648.9
AL1584,17.985,2.18,3.165,0.311,0.716,360.0,5.1,B,487.6
AL1585,1.575,9.661,0.973,0.788,0.139,465.2,7.17,B,364.8
AL1586,13.409,6.882,1.065,0.813,0.219,302.3,11.64,A,233.3
AL1587,6.435,9.514,0.229,0.03,0.901,589.0,9.94,C,716.4
AL1588,16.466,4.82,1.19,0.182,0.326,622.8,0.58,A,495.8
AL1589,12.129,3.449,0.896,0.718,0.864,412.5,6.41,B,415.0
AL1590,17.185,0.114,2.002,0.093,0.491,332.4,4.49,A,408.2
AL1591,12.416,10.732,0.376,0.01,0.712,442.9,2.34,C,398.2
AL1592,6.498,11.654,0.318,0.882,0.436,411.3,2.59,A,353.4
AL1593,0.397,3.089,3.689,0.174,0.897,385.8,1.22,A,292.0
AL1594,0.942,3.097,0.064,0.228,0.129,363.1,10.45,B,162.3
AL1595,5.497,0.697,1.85,0.33,0.356,635.4,5.43,A,334.4
AL1596,11.87,2.766,1.524,0.391,0.94,658.1,1.49,A,472.4
AL1597,7.449,10.061,0.332,0.77,0.959,496.4,4.15,A,716.1
AL1598,0.105,10.916,1.206,0.224,0.14,394.5,4.11,B,324.6
AL1599,17.317,3.643,1.992,0.908,0.334,483.6,9.78,C,472.2
AL1600,0.428,10.787,0.151,0.34,0.376,480.4,9.9,C,345.6
AL1601,3.238,1.929,1.715,0.412,0.432,417.7,6.37,C,246.8
AL1602,0.26,2.565,1.414,0.831,0.35,389.3,1.69,B,257.7
AL1603,14.563,11.794,3.733,0.904,0.161,576.3,11.64,A,631.2
AL1604,16.742,6.517,0.502,0.83,0.836,646.2,1.94,A,525.6
AL1605,10.394,6.114,1.59,0.64,0.49,539.1,,C,782.8
AL1606,4.077,7.27,0.834,0.781,0.352,577.9,9.98,A,565.9
AL1607,3.389,8.198,2.723,0.166,0.878,567.0,11.23,A,785.5
AL1608,4.618,5.998,3.994,0.224,0.401,470.9,7.55,B,474.8
AL1609,12.185,11.825,3.328,0.412,0.192,644.6,2.6,A,471.5
AL1610,16.094,2.101,1.307,0.654,0.324,681.8,4.19,A,378.6
AL1611,2.048,6.381,0.281,0.35,0.108,394.3,2.58,C,223.5
AL1612,12.112,3.788,3.602,0.314,0.63,417.5,7.59,B,410.9
AL1613,4.932,9.118,2.752,0.005,0.328,694.1,4.33,B,326.0
AL1614,1.727,3.152,3.282,0.619,0.988,327.8,10.9,B,232.6
AL1615,8.569,3.593,1.879,0.467,0.347,343.8,8.24,B,345.9
AL1616,16.112,6.259,0.721,0.946,0.076,669.3,6.04,C,380.2
AL1617,0.363,11.093,3.344,0.452,0.301,552.5,8.77,B,665.5
AL1618,15.506,5.001,,0.651,0.458,504.8,5.31,A,652.3
AL1619,5.244,6.851,1.168,0.174,0.745,605.4,2.46,C,622.4
AL1620,13.21,8.005,2.518,0.502,0.876,430.7,9.52,A,430.9
AL1621,8.269,9.111,2.775,0.251,0.108,395.3,8.47,B,330.1
AL1622,2.02,11.554,2.079,0.298,0.696,483.1,4.19,C,507.0
AL1623,1.823,1.212,3.809,0.228,0.218,446.8,9.04,B,260.2
AL1624,12.756,11.107,0.083,0.713,0.953,491.6,0.91,C,669.6
AL1625,14.664,11.549,0.351,0.526,0.582,315.3,9.39,C,326.9
AL1626,9.612,3.079,3.307,0.422,0.777,451.5,3.97,C,388.2
AL1627,0.864,5.58,2.183,0.243,0.784,511.0,11.18,C,600.0
AL1628,0.528,11.707,2.465,0.252,0.702,576.7,7.32,,845.1
AL1629,14.897,1.451,2.438,0.029,0.372,333.3,,A,323.3
AL1630,2.376,2.931,2.401,0.151,0.989,378.4,2.43,B,334.6
AL1631,15.968,8.581,3.526,0.663,0.456,479.8,8.1,A,595.0
AL1632,14.77,1.868,2.163,0.229,0.132,694.1,10.87,,231.7
AL1633,0.299,0.467,3.358,0.687,0.444,376.7,6.19,C,215.2
AL1634,3.495,6.293,1.478,0.142,0.553,301.6,3.61,C,197.4
AL1635,12.954,11.368,3.441,0.593,0.974,626.3,5.53,A,690.1
AL1636,15.209,3.451,1.135,0.423,0.124,343.5,7.03,A,373.5
AL1637,11.728,6.411,3.779,0.706,0.502,546.6,1.39,B,917.6
AL1638,8.798,5.248,3.4,0.411,0.374,387.9,7.7,A,284.0
AL1639,12.253,8.869,3.47,0.031,0.474,586.2,10.13,C,627.8
AL1640,4.645,10.505,1.668,0.892,0.324,617.5,8.18,B,451.8
AL1641,14.792,5.496,0.785,0.917,0.115,628.2,11.97,B,369.1
AL1642,9.655,0.24,0.356,0.506,0.307,387.0,1.65,A,294.6
AL1643,6.562,7.155,1.537,0.177,0.051,338.1,9.77,A,195.3
AL1644,6.808,5.532,3.79,0.416,0.376,484.4,0.56,B,565.6
AL1645,8.643,10.516,0.572,0.812,0.302,637.4,6.32,B,458.4
AL1646,8.618,3.86,3.285,0.098,0.683,585.1,11.76,C,633.5
AL1647,8.798,8.343,3.654,0.87,0.356,451.6,8.75,B,406.3
AL1648,9.467,5.403,2.511,0.146,0.552,574.0,9.47,A,710.4
AL1649,2.071,4.083,0.54,0.34,0.879,575.7,3.68,A,798.3
AL1650,8.935,0.269,2.844,0.875,0.821,406.9,1.36,A,343.3
AL1651,11.433,8.312,3.574,0.497,0.417,563.9,1.81,C,821.8
AL1652,2.31,4.527,1.69,0.471,0.798,596.8,3.77,A,643.6
AL1653,15.788,4.73,0.223,0.245,0.499,594.3,3.04,A,677.7
AL1654,13.75,1.39,1.214,0.627,0.215,659.8,3.18,A,399.5
AL1655,2.131,6.032,3.805,0.898,0.539,525.6,6.15,,773.9
AL1656,8.145,10.911,1.927,0.315,0.747,489.5,5.01,A,662.2
AL1657,14.215,6.339,0.113,0.345,0.353,573.1,1.3,C,710.7
AL1658,8.722,4.055,3.777,0.307,0.056,425.5,1.8,C,310.2
AL1659,12.589,5.667,2.587,0.973,0.352,324.0,2.55,C,346.8
AL1660,15.768,2.379,2.032,0.948,0.562,559.1,3.42,C,863.6
AL1661,12.79,1.439,3.085,0.985,0.901,468.5,5.1,A,543.4
AL1662,17.179,8.927,3.387,0.052,0.104,606.5,3.38,B,621.1
AL1663,17.675,6.665,3.571,0.342,0.99,320.7,2.94,A,503.2
AL1664,4.787,8.733,1.256,0.634,0.135,516.5,4.11,,603.0
AL1665,12.837,0.866,2.587,0.032,0.786,399.1,10.15,C,211.6
AL1666,0.53,9.52,1.386,0.091,0.484,659.6,6.14,C,311.3
AL1667,12.583,5.092,3.461,0.664,0.477,449.4,9.0,A,395.4
AL1668,6.863,6.358,1.449,0.381,0.273,653.6,7.73,C,284.4
AL1669,14.412,3.211,2.64,0.047,0.807,446.4,7.98,B,440.1
AL1670,5.026,4.371,1.015,0.366,0.151,698.1,10.22,C,108.8
AL1671,15.099,8.693,0.921,0.621,0.157,418.7,6.83,A,444.8
AL1672,1.39,1.663,2.858,0.093,0.283,510.3,10.47,,447.3
AL1673,14.7,0.951,0.903,0.658,0.177,536.8,1.23,A,654.4
AL1674,4.601,8.079,0.659,0.488,0.062,412.9,9.62,A,184.8
AL1675,12.501,8.735,3.939,0.824,0.429,333.0,1.97,A,404.2
AL1676,3.988,2.966,2.37,0.195,0.585,350.0,6.02,A,255.8
AL1677,17.088,1.904,0.86,0.111,0.079,511.5,2.92,A,570.7
AL1678,1.01,0.534,1.954,0.731,0.507,404.4,,A,191.5
AL1679,8.152,5.906,3.815,0.795,0.564,533.8,5.18,A,818.6
AL1680,17.646,4.94,3.23,0.692,0.485,545.7,2.03,B,937.5
AL1681,18.0,3.091,0.446,0.731,0.396,533.6,11.68,C,711.5
AL1682,9.54,10.824,1.224,0.327,0.196,404.4,9.24,A,256.1
AL1683,14.603,6.649,2.882,0.781,0.776,545.4,0.56,C,1011.0
AL1684,1.941,2.178,2.095,0.765,0.969,669.6,8.98,A,257.8
AL1685,4.244,3.287,0.682,0.747,0.26,511.2,4.95,B,637.1
AL1686,17.672,4.014,1.91,0.245,0.784,615.0,1.83,A,701.6
AL1687,5.17,11.813,0.531,0.456,0.092,673.8,1.37,B,337.5
AL1688,14.109,2.746,3.022,0.466,0.987,569.7,7.17,A,985.9
AL1689,12.877,5.828,3.528,0.995,0.817,359.2,8.23,A,389.5
AL1690,12.786,2.562,3.866,0.325,0.104,437.8,0.85,B,441.9
AL1691,6.232,9.524,1.889,0.041,0.262,672.6,9.16,C,245.5
AL1692,2.593,0.702,,0.42,0.966,306.8,7.32,B,250.4
AL1693,13.756,6.823,3.897,0.546,0.7,455.0,11.12,B,433.5
AL1694,17.719,8.384,1.89,0.679,0.925,345.6,4.58,C,448.0
AL1695,3.099,4.265,2.717,0.334,0.278,637.8,4.23,C,337.2
AL1696,8.201,4.818,0.434,0.881,0.211,489.8,10.61,A,410.0
AL1697,14.257,6.75,2.221,0.215,0.311,465.2,9.82,C,413.2
AL1698,2.693,1.79,3.386,0.895,0.219,431.0,7.03,,222.0
AL1699,9.669,3.749,0.771,0.586,0.855,404.2,0.57,A,335.3
AL1700,4.598,0.551,3.311,0.204,0.969,329.1,7.48,C,208.1
AL1701,0.073,7.108,2.814,0.761,0.755,477.0,3.07,A,502.7
AL1702,3.782,7.876,1.558,0.43,0.234,367.5,2.52,C,260.9
AL1703,14.224,11.484,3.535,0.413,0.54,559.8,6.71,A,964.3
AL1704,0.519,0.252,1.542,0.475,0.351,348.8,4.61,C,167.4
AL1705,15.846,7.313,0.718,0.031,0.868,475.5,8.29,A,559.0
AL1706,2.662,1.893,0.885,0.339,0.529,686.9,7.89,C,173.0
AL1707,8.909,5.853,3.828,0.454,0.632,361.2,3.42,B,378.2
AL1708,15.668,3.396,1.38,0.587,0.472,447.1,5.58,A,417.2
AL1709,6.326,9.359,0.958,0.276,0.516,367.3,11.49,A,189.7
AL1710,5.553,3.693,3.26,0.25,0.721,310.4,6.57,C,232.9
AL1711,4.322,8.228,2.537,0.142,0.955,411.3,,B,388.7
AL1712,11.422,6.178,1.147,0.837,0.853,649.6,7.6,C,378.1
AL1713,13.039,10.398,2.091,0.595,0.467,659.5,8.79,C,338.2
AL1714,14.571,10.126,0.72,0.405,0.755,358.0,6.59,B,472.3
